gbifID,abstract,accessRigh,identifier,language,license,modified,references,rightsHold,type,institutio,collection,datasetID,institut_1,collecti_1,datasetNam,ownerInsti,basisOfRec,informatio,dynamicPro,occurrence,catalogNum,recordNumb,recordedBy,individual,sex,lifeStage,reproducti,behavior,establishm,occurren_1,preparatio,dispositio,associated,associat_1,associat_2,otherCatal,occurren_2,organismID,organismNa,organismSc,associat_3,associat_4,previousId,organismRe,materialSa,eventID,parentEven,fieldNumbe,eventDate,eventTime,startDayOf,endDayOfYe,year,month,day,verbatimEv,habitat,samplingPr,eventRemar,locationID,higherGeog,higherGe_1,continent,waterBody,countryCod,stateProvi,county,municipali,locality,verbatimLo,verbatimEl,verbatimDe,minimumDis,maximumDis,locationAc,locationRe,decimalLat,decimalLon,coordinate,verbatimCo,verbatimSR,georeferen,georefer_1,georefer_2,georefer_3,georefer_4,identifica,identifi_1,typeStatus,identified,dateIdenti,identifi_2,identifi_3,identifi_4,taxonID,scientific,scientif_1,accepted_1,parentNa_1,original_1,nameAcco_1,namePubl_1,namePubl_2,higherClas,kingdom,phylum,class,order,family,genus,specificEp,infraspeci,taxonRank,vernacular,nomenclatu,taxonomicS,nomencla_1,taxonRemar,datasetKey,publishing,lastInterp,elevation,elevationA,depth,depthAccur,issue,mediaType,hasCoordin,hasGeospat,taxonKey,acceptedTa,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,subgenusKe,speciesKey,species,genericNam,acceptedSc,verbatimSc,typifiedNa,protocol,lastParsed,lastCrawle,repatriate,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name
2577397002,,http://vertnet.org/resources/norms.html,http://arctos.database.museum/guid/MVZ:Mamm:233087?seid=3509505,en,CC0_1_0,25:18.1,http://arctos.database.museum/guid/MVZ:Mamm:233087,,PhysicalObject,MVZ,28,,MVZ,Mammal specimens,,,PRESERVED_SPECIMEN,,sex=female;total length=116 mm;tail length=31 mm;hind foot with claw=18 mm;ear from notch=14 mm;weight=19.5 g,http://arctos.database.museum/guid/MVZ:Mamm:233087?seid=3509505,MVZ:Mamm:233087,505,Collector(s): Dana Lin,1,FEMALE,,,,,PRESENT,"skin; skull; tissue (frozen); tissue (frozen); gastrointestinal tract (70% ethanol); reproductive tract (formalin-fixed, 70% ethanol); skeleton",,,,,collector number=505,,http://arctos.database.museum/guid/MVZ:Mamm:233087,,,,,"[{""scientific_name"":""Microtus californicus sanctidiegi"",""nature_of_id"":""features"",""accepted_id_fg"":1,""made_date"":""2016-03-25"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: expert."",""idby"":""Dana Lin"",""concept_l",,,,,,00:00.0,3/25/16,,85,2016,3,25,25-Mar-16,,,Former verification status: checked by collector.,,,"North America, United States, California, Santa Barbara County",NORTH_AMERICA,,US,California,Santa Barbara County,,"Coal Oil Point Reserve, UC Santa Barbara","Coal Oil Point Natural Reserve, Santa Barbara Co., CA 34.414267, -119.878314",,,,,Dana Lin,,34.414267,-119.878314,50,decimal degrees,,Dana Lin,3/25/16 0:00,not recorded,GPS,accepted,,A,,Dana Lin,00:00.0,,features,Former nature_of_id: expert.,,,"Microtus californicus sanctidiegi Kellogg, 1918",,,,,,,"Animalia, Chordata, Mammalia, Rodentia, Myomorpha, Cricetidae, Arvicolinae, Microtus, Microtus californicus,",Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,californicus,sanctidiegi,SUBSPECIES,,ICZN,SYNONYM,,,0daed095-478a-4af6-abf5-18acb790fbb2,US,49:36.4,,,,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,TRUE,FALSE,8954817,2438603,1,44,359,1459,3240723,2438591,,2438603,Microtus californicus,Microtus,"Microtus californicus (Peale, 1848)",Microtus californicus sanctidiegi,,DWC_ARCHIVE,49:36.4,45:22.3,FALSE,USA,United States,USA.5_1,California,USA.5.42_1,Santa Barbara
2577389939,,http://vertnet.org/resources/norms.html,http://arctos.database.museum/guid/MVZ:Mamm:233088?seid=3509506,en,CC0_1_0,25:18.1,http://arctos.database.museum/guid/MVZ:Mamm:233088,,PhysicalObject,MVZ,28,,MVZ,Mammal specimens,,,PRESERVED_SPECIMEN,,sex=male;total length=172 mm;tail length=49 mm;hind foot with claw=21 mm;ear from notch=20 mm;weight=49.5 g,http://arctos.database.museum/guid/MVZ:Mamm:233088?seid=3509506,MVZ:Mamm:233088,506,Collector(s): Dana Lin,1,MALE,,,,,PRESENT,"skin; skull; tissue (frozen); tissue (frozen); tissue (frozen); phallus (formalin-fixed, 70% ethanol); skeleton; gastrointestinal tract (70% ethanol)",,,,,collector number=506,,http://arctos.database.museum/guid/MVZ:Mamm:233088,,,,,"[{""scientific_name"":""Microtus californicus sanctidiegi"",""nature_of_id"":""features"",""accepted_id_fg"":1,""made_date"":""2016-03-25"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: expert."",""idby"":""Dana Lin"",""concept_l",,,,,,00:00.0,3/25/16,,85,2016,3,25,25-Mar-16,,,Former verification status: checked by collector.,,,"North America, United States, California, Santa Barbara County",NORTH_AMERICA,,US,California,Santa Barbara County,,"Coal Oil Point Reserve, UC Santa Barbara","Coal Oil Point Natural Reserve, Santa Barbara Co., CA 34.414267, -119.878314",,,,,Dana Lin,,34.414267,-119.878314,50,decimal degrees,,Dana Lin,3/25/16 0:00,not recorded,GPS,accepted,,A,,Dana Lin,00:00.0,,features,Former nature_of_id: expert.,,,"Microtus californicus sanctidiegi Kellogg, 1918",,,,,,,"Animalia, Chordata, Mammalia, Rodentia, Myomorpha, Cricetidae, Arvicolinae, Microtus, Microtus californicus,",Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,californicus,sanctidiegi,SUBSPECIES,,ICZN,SYNONYM,,,0daed095-478a-4af6-abf5-18acb790fbb2,US,49:45.5,,,,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,TRUE,FALSE,8954817,2438603,1,44,359,1459,3240723,2438591,,2438603,Microtus californicus,Microtus,"Microtus californicus (Peale, 1848)",Microtus californicus sanctidiegi,,DWC_ARCHIVE,49:45.5,45:22.3,FALSE,USA,United States,USA.5_1,California,USA.5.42_1,Santa Barbara
2577389938,,http://vertnet.org/resources/norms.html,http://arctos.database.museum/guid/MVZ:Mamm:233089?seid=3509507,en,CC0_1_0,26:03.0,http://arctos.database.museum/guid/MVZ:Mamm:233089,,PhysicalObject,MVZ,28,,MVZ,Mammal specimens,,,PRESERVED_SPECIMEN,,sex=female;total length=113 mm;tail length=35 mm;hind foot with claw=18 mm;ear from notch=12 mm;weight=21.25 g,http://arctos.database.museum/guid/MVZ:Mamm:233089?seid=3509507,MVZ:Mamm:233089,507,Collector(s): Dana Lin,1,FEMALE,,,,,PRESENT,"skin; skull; tissue (frozen); tissue (frozen); gastrointestinal tract (70% ethanol); reproductive tract (formalin-fixed, 70% ethanol); skeleton",,,,,collector number=507,,http://arctos.database.museum/guid/MVZ:Mamm:233089,,,,,"[{""scientific_name"":""Microtus californicus sanctidiegi"",""nature_of_id"":""features"",""accepted_id_fg"":1,""made_date"":""2016-03-26"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: expert."",""idby"":""Dana Lin"",""concept_l",,,,,,00:00.0,3/26/16,,86,2016,3,26,26-Mar-16,,,Former verification status: checked by collector.,,,"North America, United States, California, Santa Barbara County",NORTH_AMERICA,,US,California,Santa Barbara County,,"Coal Oil Point Reserve, UC Santa Barbara","Coal Oil Point Natural Reserve, Santa Barbara Co., CA 34.415497, -119.880707",,,,,Dana Lin,,34.415497,-119.880707,50,decimal degrees,,Dana Lin,3/26/16 0:00,not recorded,GPS,accepted,,A,,Dana Lin,00:00.0,,features,Former nature_of_id: expert.,,,"Microtus californicus sanctidiegi Kellogg, 1918",,,,,,,"Animalia, Chordata, Mammalia, Rodentia, Myomorpha, Cricetidae, Arvicolinae, Microtus, Microtus californicus,",Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,californicus,sanctidiegi,SUBSPECIES,,ICZN,SYNONYM,,,0daed095-478a-4af6-abf5-18acb790fbb2,US,49:47.1,,,,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,TRUE,FALSE,8954817,2438603,1,44,359,1459,3240723,2438591,,2438603,Microtus californicus,Microtus,"Microtus californicus (Peale, 1848)",Microtus californicus sanctidiegi,,DWC_ARCHIVE,49:47.1,45:22.3,FALSE,USA,United States,USA.5_1,California,USA.5.42_1,Santa Barbara
1897611967,,,urn:catalog:SBMNH:SBMNH:2719:70470e40ab2fd19e1b0be056464f5504,es,CC_BY_4_0,00:00.0,,Comisi√≥n Nacional para el Conocimiento y Uso de la Biodiversidad (CONABIO),Event,1127,4848,70470e40ab2fd19e1b0be056464f5504,SBMNH,SBMNH,"Modelado de la distribuci√≥n potencial de las musara√±as (Mammalia, Soricidae)",Santa Barbara Museum of Natural History,PRESERVED_SPECIMEN,,Modelo Distribuci√≥n: 1,urn:catalog:SBMNH:SBMNH:2719:70470e40ab2fd19e1b0be056464f5504,2719,,NO DISPONIBLE,1,,,,,,PRESENT,,,,,,,,,,,,,,,,,,,00:00.0,,278,,1987,10,5,,,,,1644,,,,,US,California,NO DISPONIBLE,,Isla Vista; Devereux Rd. 1/4 Mi W Junction Of Storke Rd. And El Colegio Rd.,,,,,,,,34.415833,-119.87334,,grados minutos segundos,,,,,,,4785,,,NO DISPONIBLE,,,,,80ec160beba54fc6e0cfa43a1033ea5a,52,Sorex ornatus ornatus,Sorex ornatus subsp. ornatus,Sorex,,"Ram√≠rez-Pulido, Gonz√°lez-Ruiz, Gardner & Arroyo-Cabrales, 2014",,1895,Animalia; Chordata; Mammalia; Soricomorpha; Soricidae; Sorex; ornatus,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Sorex,ornatus,ornatus,SUBSPECIES,musara√±a adornada,,ACCEPTED,,,4a3421d3-e83f-4d30-b0b9-6658c9f047b6,MX,07:42.5,0,0,0,0,COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;TYPE_STATUS_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY,,TRUE,FALSE,7059216,7059216,1,44,359,803,5534,2435935,,2436078,Sorex ornatus,Sorex,Sorex ornatus ornatus,Sorex ornatus subsp. ornatus,,DWC_ARCHIVE,07:42.5,03:34.9,TRUE,USA,United States,USA.5_1,California,USA.5.42_1,Santa Barbara
1585926491,,http://vertnet.org/resources/norms.html,http://arctos.database.museum/guid/MVZ:Mamm:235828?seid=3674649,en,CC0_1_0,20:00.0,http://arctos.database.museum/guid/MVZ:Mamm:235828,,PhysicalObject,MVZ,28,,MVZ,Mammal specimens,,,PRESERVED_SPECIMEN,,sex=male;total length=158 mm;tail length=47 mm;hind foot with claw=20 mm;ear from notch=13 mm;weight=46 g,http://arctos.database.museum/guid/MVZ:Mamm:235828?seid=3674649,MVZ:Mamm:235828,555,Collector(s): Dana Lin; Preparator(s): Gordon Lau,1,MALE,,,,,PRESENT,skin; skull; tissue (frozen); tissue (frozen); skeleton,,,,,collector number=555,,http://arctos.database.museum/guid/MVZ:Mamm:235828,,,,,"[{""scientific_name"":""Microtus californicus sanctidiegi"",""nature_of_id"":""features"",""accepted_id_fg"":1,""made_date"":""2017-04-12"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: expert."",""idby"":""Dana Lin"",""concept_l",,,,,,00:00.0,4/12/17,,102,2017,4,12,12-Apr-17,,Sherman trap,DIT,,,"North America, United States, California, Santa Barbara County",NORTH_AMERICA,,US,California,Santa Barbara County,,Coal Oil Point Natural Reserve,"Coal Oil Point Nature Reserve, Santa Barbara County, California; elevation 7ft",,,,,Dana Lin,,34.41217,-119.87642,,decimal degrees,,Dana Lin,4/12/17 0:00,not recorded,GPS,unverified,,A,,Dana Lin,00:00.0,,features,Former nature_of_id: expert.,,,"Microtus californicus sanctidiegi Kellogg, 1918",,,,,,,"Animalia, Chordata, Mammalia, Rodentia, Myomorpha, Cricetidae, Arvicolinae, Microtus, Microtus californicus,",Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,californicus,sanctidiegi,SUBSPECIES,,ICZN,SYNONYM,,,0daed095-478a-4af6-abf5-18acb790fbb2,US,49:46.8,2,0,,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,TRUE,FALSE,8954817,2438603,1,44,359,1459,3240723,2438591,,2438603,Microtus californicus,Microtus,"Microtus californicus (Peale, 1848)",Microtus californicus sanctidiegi,,DWC_ARCHIVE,49:46.8,45:22.3,FALSE,USA,United States,USA.5_1,California,USA.5.42_1,Santa Barbara
1585926488,,http://vertnet.org/resources/norms.html,http://arctos.database.museum/guid/MVZ:Mamm:235829?seid=3674650,en,CC0_1_0,20:00.0,http://arctos.database.museum/guid/MVZ:Mamm:235829,,PhysicalObject,MVZ,28,,MVZ,Mammal specimens,,,PRESERVED_SPECIMEN,,"sex=female;total length=181 mm;tail length=54 mm;hind foot with claw=20 mm;ear from notch=18 mm;weight=52.5 g;reproductive data=Embryos: 1L, 5R",http://arctos.database.museum/guid/MVZ:Mamm:235829?seid=3674650,MVZ:Mamm:235829,556,Collector(s): Dana Lin,1,FEMALE,,,,,PRESENT,"skull; tissue (frozen); tissue (frozen); embryo (formalin-fixed, 70% ethanol); skeleton",,,,,collector number=556,,http://arctos.database.museum/guid/MVZ:Mamm:235829,,,,,"[{""scientific_name"":""Microtus californicus sanctidiegi"",""nature_of_id"":""features"",""accepted_id_fg"":1,""made_date"":""2017-04-13"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: expert."",""idby"":""Dana Lin"",""concept_l",,,,,,00:00.0,4/13/17,,103,2017,4,13,13-Apr-17,,Sherman trap,,,,"North America, United States, California, Santa Barbara County",NORTH_AMERICA,,US,California,Santa Barbara County,,Coal Oil Point Natural Reserve,"Coal Oil Point Nature Reserve, Santa Barbara County, California; elevation 5ft",,,,,Dana Lin,,34.41218,-119.8763,,decimal degrees,,Dana Lin,4/13/17 0:00,not recorded,GPS,unverified,,A,,Dana Lin,00:00.0,,features,Former nature_of_id: expert.,,,"Microtus californicus sanctidiegi Kellogg, 1918",,,,,,,"Animalia, Chordata, Mammalia, Rodentia, Myomorpha, Cricetidae, Arvicolinae, Microtus, Microtus californicus,",Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,californicus,sanctidiegi,SUBSPECIES,,ICZN,SYNONYM,,,0daed095-478a-4af6-abf5-18acb790fbb2,US,49:45.5,2,0,,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,TRUE,FALSE,8954817,2438603,1,44,359,1459,3240723,2438591,,2438603,Microtus californicus,Microtus,"Microtus californicus (Peale, 1848)",Microtus californicus sanctidiegi,,DWC_ARCHIVE,49:45.5,45:22.3,FALSE,USA,United States,USA.5_1,California,USA.5.42_1,Santa Barbara
1585926484,,http://vertnet.org/resources/norms.html,http://arctos.database.museum/guid/MVZ:Mamm:235822?seid=3674655,en,CC0_1_0,10:00.0,http://arctos.database.museum/guid/MVZ:Mamm:235822,,PhysicalObject,MVZ,28,,MVZ,Mammal specimens,,,PRESERVED_SPECIMEN,,sex=male;total length=164 mm;tail length=43 mm;hind foot with claw=21 mm;ear from notch=15 mm;weight=46 g,http://arctos.database.museum/guid/MVZ:Mamm:235822?seid=3674655,MVZ:Mamm:235822,549,Collector(s): Dana Lin,1,MALE,,,,,PRESENT,"skull; tissue (frozen); tissue (frozen); gastrointestinal tract (70% ethanol); phallus (formalin-fixed, 70% ethanol); skeleton",,,,,collector number=549,,http://arctos.database.museum/guid/MVZ:Mamm:235822,,,,,"[{""scientific_name"":""Microtus californicus sanctidiegi"",""nature_of_id"":""features"",""accepted_id_fg"":1,""made_date"":""2017-04-12"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: expert."",""idby"":""Dana Lin"",""concept_l",,,,,,00:00.0,4/12/17,,102,2017,4,12,12-Apr-17,,Sherman trap,,,,"North America, United States, California, Santa Barbara County",NORTH_AMERICA,,US,California,Santa Barbara County,,Coal Oil Point Natural Reserve,"Coal Oil Point Nature Reserve, Santa Barbara County, California; elevation 4ft",,,,,Dana Lin,,34.41227,-119.87602,,decimal degrees,,Dana Lin,4/12/17 0:00,not recorded,GPS,unverified,,A,,Dana Lin,00:00.0,,features,Former nature_of_id: expert.,,,"Microtus californicus sanctidiegi Kellogg, 1918",,,,,,,"Animalia, Chordata, Mammalia, Rodentia, Myomorpha, Cricetidae, Arvicolinae, Microtus, Microtus californicus,",Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,californicus,sanctidiegi,SUBSPECIES,,ICZN,SYNONYM,,,0daed095-478a-4af6-abf5-18acb790fbb2,US,49:36.5,1,0,,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,TRUE,FALSE,8954817,2438603,1,44,359,1459,3240723,2438591,,2438603,Microtus californicus,Microtus,"Microtus californicus (Peale, 1848)",Microtus californicus sanctidiegi,,DWC_ARCHIVE,49:36.5,45:22.3,FALSE,USA,United States,USA.5_1,California,USA.5.42_1,Santa Barbara
1585926471,,http://vertnet.org/resources/norms.html,http://arctos.database.museum/guid/MVZ:Mamm:235830?seid=3674552,en,CC0_1_0,10:00.0,http://arctos.database.museum/guid/MVZ:Mamm:235830,,PhysicalObject,MVZ,28,,MVZ,Mammal specimens,,,PRESERVED_SPECIMEN,,"sex=female;total length=205 mm;tail length=67 mm;hind foot with claw=22 mm;ear from notch=18 mm;weight=13.5 g;reproductive data=Embryos: 4L, 3R",http://arctos.database.museum/guid/MVZ:Mamm:235830?seid=3674552,MVZ:Mamm:235830,557,Collector(s): Dana Lin,1,FEMALE,,,,,PRESENT,"skull; tissue (frozen); tissue (frozen); embryo (formalin-fixed, 70% ethanol); gastrointestinal tract (70% ethanol); skeleton",,,,,collector number=557,,http://arctos.database.museum/guid/MVZ:Mamm:235830,,,,,"[{""scientific_name"":""Microtus californicus sanctidiegi"",""nature_of_id"":""features"",""accepted_id_fg"":1,""made_date"":""2017-04-13"",""short_citation"":null,""publication_id"":null,""identification_remarks"":""Former nature_of_id: expert."",""idby"":""Dana Lin"",""concept_l",,,,,,00:00.0,4/13/17,,103,2017,4,13,13-Apr-17,,Sherman trap,,,,"North America, United States, California, Santa Barbara County",NORTH_AMERICA,,US,California,Santa Barbara County,,Coal Oil Point Natural Reserve,"Coal Oil Point Natural Reserve, Santa Barbara County, California; elevation 22ft",,,,,Dana Lin,,34.40785,-119.87818,,decimal degrees,,Dana Lin,4/13/17 0:00,not recorded,GPS,unverified,,A,,Dana Lin,00:00.0,,features,Former nature_of_id: expert.,,,"Microtus californicus sanctidiegi Kellogg, 1918",,,,,,,"Animalia, Chordata, Mammalia, Rodentia, Myomorpha, Cricetidae, Arvicolinae, Microtus, Microtus californicus,",Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,californicus,sanctidiegi,SUBSPECIES,,ICZN,SYNONYM,,,0daed095-478a-4af6-abf5-18acb790fbb2,US,49:46.8,7,0,,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,,TRUE,FALSE,8954817,2438603,1,44,359,1459,3240723,2438591,,2438603,Microtus californicus,Microtus,"Microtus californicus (Peale, 1848)",Microtus californicus sanctidiegi,,DWC_ARCHIVE,49:46.8,45:22.3,FALSE,USA,United States,USA.5_1,California,USA.5.42_1,Santa Barbara
